typeStatus,catalogNumber,individualCount,preparations,taxonConceptID,scientificName,kingdom,phylum,family,waterBody,country,stateProvince,locality,maximumDepthInMeters,locationRemarks,decimal Lat,decimal Long,geodeticDatum,samplingProtocol,eventDate,eventTime,fieldNumber,fieldNotes,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23498,1,"specimen fixed in 4%  formalin, stored in 80% IMS",?Eranno sp. 1,?Eranno sp.,Animalia,Annelida,Lumbrineridae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1782,MV Ocean Endeavour,-53.482551,-59.156921,WGS84,Box Corer,26/02/2011,07:55,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23499,1,"specimen fixed in 4%  formalin, stored in 80% IMS",?Eranno sp. 1,?Eranno sp.,Animalia,Annelida,Lumbrineridae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1794,MV Ocean Endeavour,-53.488653,-59.144583,WGS84,BSL Double Van Veen Grab,26/02/2011,03:09,4MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23581,1,"specimen fixed in 4%  formalin, stored in 80% IMS",?Eranno sp. 1,?Eranno sp.,Animalia,Annelida,Lumbrineridae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1516,MV Ocean Endeavour,-52.597606,-55.987865,WGS84,Box Corer,04/03/2011,09:17,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21712,1,"specimen fixed in 4  formalin, stored in 80% IMS",Abyssoninoe abyssorum,"Abyssoninoe abyssorum (McIntosh, 1885)",Animalia,Annelida,Lumbrineridae ,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),456,RRS Ernest Shackleton,-49.23308889,-59.1689586,WGS84,Box Corer,18/04/2012,15:33:00,1MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21764,1,"specimen fixed in 4  formalin, stored in 80% IMS",Abyssoninoe abyssorum,"Abyssoninoe abyssorum (McIntosh, 1885)",Animalia,Annelida,Lumbrineridae ,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.25087639,-59.1411775,WGS84,Box Corer,24/04/2012,08:26:00,8MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23500,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Abyssoninoe abyssorum,"Abyssoninoe abyssorum (McIntosh, 1885)",Animalia,Annelida,Lumbrineridae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1782,MV Ocean Endeavour,-53.482551,-59.156921,WGS84,Box Corer,26/02/2011,07:55,2MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23558,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Abyssoninoe abyssorum,"Abyssoninoe abyssorum (McIntosh, 1885)",Animalia,Annelida,Lumbrineridae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Toroa oil well),610,not available,-53.028686,-58.067881,WGS84,Box Corer,02/02/2009,02:14,T5FB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23501,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aglaophamus posterobranchus,"Aglaophamus posterobranchus Hartman, 1967",Animalia,Annelida,Nephtyidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1842,MV Ocean Endeavour,-53.516123,-59.122255,WGS84,Box Corer,27/03/2011,15:02,5MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.12716-12717,2,"specimen fixed in 4  formalin, stored in 80% IMS",Aglaophamus sp. 2,Aglaophamus sp. ,Animalia,Annelida,Nephtyidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.25087639,-59.1411775,WGS84,Box Corer,24/04/2012,08:26:00,8MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21713,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aglaophamus sp. 2,Aglaophamus sp. ,Animalia,Annelida,Nephtyidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),456,RRS Ernest Shackleton,-49.23308889,-59.1689586,WGS84,Box Corer,18/04/2012,15:33:00,1MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
