,,catalogNumber,,,,occurrenceDetails,occurrenceRemarks,recordNumber,recordedBy,individualID,individualCount,sex,lifeStage,reproductiveCondition,behavior,establishmentMeans,occurrenceStatus,preparations,,disposition,otherCatalogNumbers,previousIdentifications,associatedMedia,associatedReferences,associatedOccurrences,associatedSequences,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,higherClassification,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,,,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,,,,,,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,locationID,higherGeographyID,higherGeography,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,municipality,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,minimumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,locationAccordingTo,locationRemarks,,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,pointRadiusSpatialFit,footprintWKT,footprintSRS,footprintSpatialFit,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,geologicalContextID,earliestEonOrLowestEonothem,latestEonOrHighestEonothem,earliestEraOrLowestErathem,latestEraOrHighestErathem,earliestPeriodOrLowestSystem,latestPeriodOrHighestSystem,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,earliestAgeOrLowestStage,latestAgeOrHighestStage,lowestBiostratigraphicZone,highestBiostratigraphicZone,lithostratigraphicTerms,group,formation,member,bed,eventID,samplingProtocol,samplingEffort,eventDate,eventTime,startDayOfYear,endDayOfYear,year,month,day,verbatimEventDate,habitat,fieldNumber,fieldNotes,eventRemarks,type,modified,language,rights,rightsHolder,accessRights,bibliographicCitation,institutionID,collectionID,datasetID,institutionCode,collectionCode,datasetName,ownerInstitutionCode,basisOfRecord,informationWithheld,dataGeneralizations,dynamicProperties,source,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,20,,,,,,,specimen fixed in 4  formalin,stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) assimilis,,"Aricidea (Acmira) assimilis Tebble, 1959 ",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),assimilis,,"sensu Strelzov, 1973",,,,Tebble,,,,,1959 ,,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,460,,,,RRS Ernest Shackleton,9030,,,,,,-49.2504547,-59.0862200,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,05:10,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm
looser, more cohesive below. Dark coarse sand and gravel
up to 2.5cm in sieve residue.",10MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,1,,,,,,,specimen fixed in 4  formalin,stored in 80% IMS,,,,,,,,,,,,,,,Ancistrosyllis cf groenlandica,,"Ancistrosyllis cf.groenlandica McIntosh, 1879 ",,,,,,,Animalia,Annelida,,,Pilargidae,Ancistrosyllis,,groenlandica,,cf. ,,,,McIntosh,,,,,1879 ,,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,460,,,,RRS Ernest Shackleton,9030,,,,,,-49.2504547,-59.0862200,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,05:10,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm
looser, more cohesive below. Dark coarse sand and gravel
up to 2.5cm in sieve residue.",10MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,2,,,,,,,specimen fixed in 4  formalin,stored in 80% IMS,,,,,,,,,,,,,,,Anobothrus cf. glandularis,,"Anobothrus cf. glandularis Hartmann-Schröder, 1965",,,,,,,Animalia,Annelida,,,Ampharetidae,Anobothrus,,glandularis,,cf. ,,,,Hartmann-Schröder,,,,,1965,,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,460,,,,RRS Ernest Shackleton,9030,,,,,,-49.2504547,-59.0862200,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,05:10,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm
looser, more cohesive below. Dark coarse sand and gravel
up to 2.5cm in sieve residue.",10MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,6,,,,,,,specimen fixed in 4  formalin,stored in 80% IMS,,,,,,,,,,,,,,,Aricidea (Acmira) simplex ,,"Aricidea (Acmira) simplex  Day, 1963",,,,,,,Animalia,Annelida,,,Paraonidae,Aricidea,(Acmira),simplex,,,,,,Day,,,,,1963,,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,460,,,,RRS Ernest Shackleton,9030,,,,,,-49.2504547,-59.0862200,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,05:10,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm
looser, more cohesive below. Dark coarse sand and gravel
up to 2.5cm in sieve residue.",10MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,,,,,Sea Lion Field Development Environmental Baseline Survey,,Gardline,,4,,,,,,,specimen fixed in 4  formalin,stored in 80% IMS,,,,,,,,,,,,,,,Axiothella sp. 1,,Axiothella sp.,,,,,,,Animalia,Annelida,,,Maldanidae,Axiothella,,sp. ,,sp. 1,,,,Verrill,,,,,1900,,,,,,,,,,SW Atlantic,,,Falkland Islands,,North Falkland Basin,,,North Falkland Basin (Sea Lion oil exploration),,,,,,,460,,,,RRS Ernest Shackleton,9030,,,,,,-49.2504547,-59.0862200,WGS84,,,,,,,,,,,,,Lenka Neal,01/10/15,,,,,,,,,,,,,,,,,,,,,,,Box Corer,,25/04/2012,05:10,,,,,,,"Soft silty brown clay, darker mottling on surface, top 3-5cm
looser, more cohesive below. Dark coarse sand and gravel
up to 2.5cm in sieve residue.",10MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
