"471","Acrocirridae Banse, 1969"
"209","Ampharetidae Malmgren, 1866"
"431","Amphinomidae Lamarck, 1818"
"247","Apistobranchidae Mesnil and Caullery, 1898"
"401","Capitellidae Grube, 1862"
"407","Chaetopteridae Audouin & Milne Edwards, 1833"
"433","Cirratulidae Carus, 1863"
"485","Cossuridae Day, 1963"
"462","Dorvilleidae Chamberlin, 1919"
"489","Eunicidae Berthold, 1827"
"429","Euphrosinidae Williams, 1852"
"241","Fabriciidae Rioja, 1923"
"416","Fauveliopsidae Hartman, 1971"
"470","Flabelligeridae de Saint-Joseph, 1894"
"415","Glyceridae Grube, 1850"
"476","Lacydoniidae Bergström, 1914"
"455","Lumbrineridae Schamada, 1861"
"331","Maldanidae Malmgren, 1867"
"466","Miscellaneous families"
"322","Nephtyidae Grube, 1850"
"467","Nereididae Blainville, 1818"
"464","Oenonidae Kinberg, 1865"
"381","Onuphidae Kinberg, 1865"
"158","Opheliidae"
"189","Opheliidae Malmgren 1867"
"250","Orbiniidae Hartman, 1942"
"492","Oweniidae Rioja, 1917"
"196","Paraonidae Cerruti, 1909"
"468","Pectinariidae Quatrefages, 1866"
"469","Pholoidae Kinberg, 1858"
"355","Phyllodocidae Örsted, 1843"
"259","Pilargidae de Saint-Joseph, 1899"
"262","Polynoidae Kinberg, 1856"
"290","Sabellidae Latreille, 1825"
"394","Scalibregmatidae Malmgren, 1867"
"419","Sigalionidae Malmgren, 1867"
"422","Sphaerodoridae Malmgren, 1867"
"143","Spionidae"
"173","Spionidae Grube, 1850"
"256","Sternaspidae Carus, 1863"
"272","Syllidae Grube, 1850"
"367","Terebellidae Johnston, 1846"
"393","Travisiidae Hartmann-Schröder, 1971"
"410","Trichobranchidae Malmgren, 1866"
