"Name","TID","Description","Path"
"Ophelina scaphigera Ehlers, 1900","194"," Ophelina scaphigera a) specimen in lateral view; b) detail of anterior region; c) detail of branchiae and segmental annulation; d) detail of scoop-shaped anal funnel


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%203.%20Ophelia_scaphigera_platewebsite_0.png"
"Ophelina cf. cylindricaudata (Hansen, 1878, sensu Hartmann-Schröder and Rosenfeldt, 1989)","192"," Ophelina cf. cylindricaudata a) detail of the anterior region with branchiae; b) detail of prostomium; c) detail of the posterior region with branchiae; d) detail of anal funnel in ventral view, showing scar of detached cirrus.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%202.%20Ophelina%20cf%20cylindricaudata%20Plate_0.png"
"Ophelina breviata (Ehlers, 1913)","191"," Ophelina breviata a) specimen in ventro-lateral view, anal funnel missing; b) detail of the anterior region, with branchiae; c) detail of the posterior region with anal funnel attached; d) detail of anal funnel in distal view


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%201.%20Ophelina%20breviata%20Plate%20web.png"
"Ophelina farallonensis","162"," Ophelina farallonensis a) specimen lateral view; b) detail of prostomium; c) detail of anal funnel with elongated ventral cirrus (arrow) in lateral view


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%205.%20Ophelina%20cf%20farallonensis_plateweb.png"
"Ophelina farallonensis Blake 2000","193"," Ophelina farallonensis a) specimen lateral view; b) detail of prostomium; c) detail of anal funnel with elongated ventral cirrus (arrow) in lateral view


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%205.%20Ophelina%20cf%20farallonensis_plateweb.png"
"Ophelina syringopyge","164"," Ophelina syringopyge a) specimen in dorso-lateral view; b) detail of prostomium; c) detail of anal funnel in distal view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%204.%20Ophelina%20syringopyge%20plate_38MFA.png"
"Ophelina syringopyge (Ehlers, 1901)","195"," Ophelina syringopyge a) specimen in dorso-lateral view; b) detail of prostomium; c) detail of anal funnel in distal view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%204.%20Ophelina%20syringopyge%20plate_38MFA.png"
"Aricidea (Allia) cf. ramosa Annenkova, 1934","201"," Aricidea (Allia) cf. ramosa (specimen Shirla-stained) a) specimen in side view, with branchiae; b) prostomium in dorsal view, with detail of branched antenna


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%203%20Aricidea%20ramosa%20plate%20merge.png"
"Aricidea pisanoi Montiel and Hilbig, 2004","202"," Aricidea pisanoi a) specimen in dorsal view; b) detail of anterior region and branchiae; c) detail of antenna in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/A.%20pisanoi%20completed%20plate%20web.png"
"Aricidea (Acmira) simplex Day, 1963 (sensu Blake, 1996)","203"," Aricidea (Acmira) simplex Day, 1963 sensu Blake, 1996 (specimen Shirla-stained) a) detail of anterior part in ventral view; b) detail of pygidium; c) detail of branchia (top arrow) and dorsal cirrus (lower arrow); d) detail of dorsal cirrus in postbranchial region; e) anterior part in lateral view, the small antenna highlighted with arrow.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%202%20Aricidea%20simplex%20plate%20merge%20web.png"
"Levinsenia acutibranchiata (Strelzov, 1973)","205"," Levinsenia acutibranchiata (specimen Shirla-stained) a) detail of prostomium in dorsal view; b) branchial region in lateral view; c) detail of notopodial cirri (arrow) in branchial region; d) detail of branchiae with acute tips.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%208%20Levinsenia%20acutibranchiata%20plate%20merged%20web.png"
"Paradoneis Hartman, 1965","207"," Paradoneis sp. 1 a) anterior end in lateral view.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/paradoneis%20sp%201%20completed%20plate%20web%20.png"
"Aricidea (Acmira) assimilis  Tebble, 1959  sensu Strelzov, 1973","199"," Aricidea (Acmira) assimilis Tebble, 1959 sensu Strelzov, 1973 a) specimen in dorsal view, detail of anterior part, antenna missing; b) specimen in lateral view showing the change in branchial shape and length; c) detail of prostomium with short, regenerating antenna; d) examples of juvenile (left) and adult (right) specimens; e) example of specimen with long antenna; f) detail of posterior (very short) branchiae.


 ","http://falklands.myspecies.info/sites/falklands.myspecies.info/files/Plate%201%20Aricidea%20assimilis%20plate%20merged%20web.png"
