"Title","Body","Classification","NID","TID","Rank"
"<a href=""/node/669"">Potamethus Chamberlin, 1919</a>"," <h3>
		<strong><em>Potamethus</em> Chamberlin, 1919</strong></h3>
<div>
<div>
<div property=""encoded"">
<p><strong><em>Potamethus </em>sp. 1</strong></p>
<p><strong>Voucher. </strong>Sea Lion: station 40MFB.</p>
<p><strong>Diagnosis. </strong>Large species; voucher is the only specimen encountered in this study; complete, with branchial crown; body 35 mm long, crown 17mm long, body 2mm wide; 8 thoracic and 39 abdominal chaetigers; chaetigers very crowded and very wide in posterior abdomen given the specimen somewhat swollen look towards the pygidium; colour in alcohol light tan to pink.</p>
<p>Branchial crown with 8 pairs of radioles, basally connected by a well-developed palmate membrane; radioles with pinnules to the tip; ventral filaments absent.</p>
<p>Collar most developed ventrally with distinctly elongate posterior peristomial ring, laterally and dorsally as a low lobes; dorsally forming two pockets, not overlapping at midline. Peristomial eyes not observed. Glandular ridge on chaetiger 2 present.</p>
<p>Collar uncini limbate notochaetae ranged in longitudinal rows. Thoracic superior notochaetae long, broadly limbate about 10 per fascicles and numerous, shorter mucronate chaetae arranged in 2 rows (around 9 chaetae per row). Thoracic uncini avicular with very long handles, breast as a pronounced swelling, about 14 per fascicle, arranged in single row, each with main fang and 4 small, diminishing in size teeth as seen in profile; with a row of smaller, hooked-shaped companion chaetae.</p>
<p>Abdominal neurochaetae composed of thin capillaries, around 6 per fascicle and row of 6 mucronate chaetae (narrower than thoracic mucronate chaetae); posterior neurochaetae change shape dramatically; in posterior abdominal segments neurochaetae as shorter and longer thickened (almost spine-like) narrowly limbate capillaries with very distinct long, thin mucrons. Abdominal uncini of anterior and mid abdominal chaetigers long handled, similar to thoracic unicni, around 20 per fascicle arranged in single row anterior and mid abdominal segments, reducing in numbers posteriorly.</p>
<p>Pygidium indistinct, very small triangular lobe; pygidial eyes not observed. Fragments of tube observed, composed of fine mud, greyish in colour, smooth without embedded particles.</p>
<p><strong>Remarks. </strong>The FI specimen belong to genus <em>Potamethus</em> as they possess a girdle on chaetiger 2, and distinctly elongate posterior peristomial ring of the collar, although the form of thoracic uncini is distinctly avicular not acicular as otherwise common for species with girdle on chaetiger 2. <em>Potamethus scotiae</em> was described from Princess Martha Coast, around 2500m depth by Pixel (1913), however her original description was very brief (concentrating mostly on branchial crown and shape of collar, while at the same time providing drawings for chaetae only) and, therefore, of relatively little value. Nevertheless Pixell (1913) pictured and described only 1 type of abdominal neurochaetae, not 2 as clearly obvious in FI specimens. Knight-Jones (1983) re-examined holotypes and re-defined genus <em>Potamethus</em>. Based on drawings she provided for <em>P. scotiae</em>, the collar is not the same as for the one found in Falkland specimens. Knox and Cameron (1998) also provided description of <em>P. scotiae</em>, this time from the Ross Sea. The collar corresponds well with that of genus <em>Potamethus</em>, but they reported only one type of abdominal neurochaetae, as well as large number of radiolar pairs in comparison to FI specimens (15 versus 8).</p>
<p><strong>List of species in genus Potamethus:</strong></p>
<p><em>P. breviuncatus </em>Hartmann-Schröder, 1977</p>
<p><em>P. dubius </em>(Eliason, 1951)</p>
<p><em>P. elongatus </em>(Treadwell, 1906)</p>
<p><em>P. filiformis </em>Hartmann-Schröder, 1977</p>
<p><em>P. japonicus </em>(Johansson, 1922)</p>
<p><em>P. malmgreni (</em>Hansen, 1878<em>)</em></p>
<p><em>P. mucronatus </em>(Moore, 1923)</p>
<p><em>P. murrayi </em>(McIntosh, 1916)</p>
<p><em>P. scotiae </em>(Pixell, 1913)</p>
<p><em>P. singularis </em>Hartman<em>, 1965</em></p>
<p><em>P. spathiferus</em> (Ehlers, 1887)</p>
<div>
				 </div>
</div>
</div>
<div>
		 </div>
</div>
<p></p>


 ","Potamethus Chamberlin, 1919","669","291","Genus"
"<a href=""/node/668"">Perkinsiana Knight-Jones, 1983</a>"," <p>There are two species of <em>Perkinsiana </em>recorder from off the Falkland Islands.</p>
<p><em>Perkinsiana</em> sp. 1</p>
<p>cf. <em>Perkinsiana</em> sp. 2</p>


 ","Perkinsiana Knight-Jones, 1983","668","319","Genus"
"<a href=""/node/667"">Myxicola Koch in Renier, 1847</a>"," <div>
<div id=""taxonomy-term-294"">
		<strong><em>Myxicola</em> Koch in Renier, 1847</strong></div>
</div>
<div>
<div property=""encoded"">
<p><strong><em>Myxicola </em>cf. <em>sulcata</em> Ehlers, 1912 </strong></p>
<p><strong>Voucher specimens. </strong>Sea Lion: stations 67MFA and 25MFC; Inflexible: station 2MFB.</p>
<p><strong>Diagnosis. </strong>Large, robust species; body covered by sheath, giving the body a smooth appearance (chaetae not clearly protruding from the body); body cylindrical, gradually tapering posteriorly, without clear division between thorax and abdomen; body segments narrow (much wider than long) and crowded throughout. The largest voucher specimen complete with branchial crown; body 35mm long, branchial crown 15mm long, body width 4mm, body curved into crescent-like shape, colour in alcohol dark yellow; the smallest voucher complete with branchial crown; body 4mm long, branchial crown 3mm long, body width 1 mm; body straight. Thorax with 8 chaetigers, abdomen with 22 or more chaetigers (depending on size).</p>
<p>Large voucher with 13 pairs of radioles fused at the base by a palmate membrane, ventral pair shortest; ventral filaments not observed.</p>
<p>Collar not developed; peristomium reduced dorsally and laterally to ring, ventrally elongated as a broad triangular lobe at the base of radioles; peristomial eyes not observed. Glandular ridge on chaetigers 2 present.</p>
<p>Peristomial chaetae narrowly limbate, arranged in longitudinal row. Thoracic notochaetae arranged as a tuft on very slender narrowly limbate chaetae; thoracic uncini not easily observable in specimens available here. Abdominal neurochaetae, thin capillaries; abdominal uncini very small (difficult to observe), forming nearly complete cinctures around the body, avicular with 2 large teeth.</p>
<p>Pygidium broad conical lobe, not obvious in large specimens; pygidial eyes not observed.</p>
<p><strong>Remarks. </strong><em>Myxicola sulcata</em> is a very distinct species, described from Ross Sea by Ehlers (1912) and considered to have distribution limited to that area (Knox and Cameron, 1998). Reports of this species outside the Ross Sea may represent a different species, however more work would be necessary to establish if FI represent a new species, distinct from <em>M. sulcata</em>.</p>
<div>
				 </div>
</div>
</div>
<div>
		 </div>
<p></p>


 ","Myxicola Koch in Renier, 1847","667","293","Genus"
"<a href=""/node/666"">Desdemona Banse, 1957 </a>"," <p><strong><em>Desdemona </em>Banse, 1957</strong></p>
<p><strong><em>Desdemona? </em>sp. 1</strong></p>
<p><strong>Voucher. </strong>SEA LION: station 3MFC (with branchial crown, non-brooding); station 22 MFA (with branchial crown, brooding) and station 56MFB (branchial crown missing).</p>
<p><strong>Diagnosis (based on voucher from station 3MFC). </strong>Small, extremely slender species; voucher is a complete specimen with branchial crown; body 3.8 mm long and 0.15 mm wide, branchial crown is 0.5 mm long; body with 8 thoracic and 15 abdominal segments; posterior thoracic and anterior abdominal segment elongated (much longer than wide); posterior abdominal segments short again; colour in alcohol pale yellow.</p>
<p>Branchial crown with 3 pairs of radioles and 1 pair of shorter non-vascularized ventral filaments; radioles with 5 or possibly 6 pairs of widely separated pinnules.</p>
<p>Collar is well-developed; much higher ventrally (=anterior margin of anterior peristomial ring developed ventrally as wide lobe); low dorsally with two deep dorso-lateral notches; well developed, long, narrow dorsal lip observed.</p>
<p>Glandular ridge on chaetiger 2 present. Peristomial eyes not observed.</p>
<p>Superior thoracic notochaetae long, limbate; inferior thoracic notochaetae short, simple capillaries. Thoracic neurochaetae acicular; with at least 5 teeth decreasing in size above the main fang; reducing in number from 10 in chaetiger 2 to 3 in chaetiger 8 (the last thoracic chaetiger). Abdominal uncini avicular with enlarged breast; the number constant, with 6 in chaetiger 9 and 5 posteriomost chaetigers, but the last one which only bears 1 uncinus. Anterior abdominal uncini extremely small; anterior one very narrow, arranged in about 3 rows (in frontal view), with about 6 teeth per row; posterior uncini broader, arranged in about 5 rows (in frontal view).</p>
<p>Posteriomost chaetigers gradually narrowing into well developed, rounded, triangular to cordiform pygidial lobe, terminal cirrus or pygidial eyespots not observed. Tube not observed.</p>
<p><strong>Reproduction.</strong> In several specimens a single small juvenile was found inside the branchial crown and these specimens appear to have longer and perhaps more numerous pinnules on their radioles than voucher from station 3MFS. At present, we assume this to be an adaptation that enables brooding of juveniles. No other morphological differences were observed. Brooding of eggs and larvae within the branchial crown has been linked to small body size and habitat. Of other Sabellidae known from the region, this strategy has been documented in <em>Perkinsiana antarctica</em> (Knight-Jones and Bowden, 1984; Gambi and Patti, 1999) and <em>Myxicola </em>cf.<em> sulcata </em>(Gambi et al., 2001).</p>
<p><strong>Remarks. </strong>The small size, relatively low number of abdominal segments, development of collar, lack of inferior mucronate chaetae and form of thoracic and abdominal uncini suggest these Falkland Is. specimens belong to the genus <em>Desdemona</em>Banse, 1957. However, there are also some inconsistencies, such as lack of peristomial or pygidial eyes and the number of abdominal segments while relatively low is higher (N=15) than in all other know species (up to 8).</p>
<p>This is a small genus, currently with five valid species, all with Southern Hemisphere distribution. Three of these are reported from the area - <em>D. trilobata</em> (with type locality: Falkland Islands), D. nova and <em>D. antarctica</em>. Should the generic identification be confirmed by subsequent work, specimens from Falkland Islands collected here likely represent a new species.</p>
<p><strong>Overview of known <em>Desdemona </em>species:</strong></p>
<p><em>D. ornata</em>: radioles with dark pigments, collar missing dorsally, with 8 abdominal segments only.</p>
<p><em>D. trilobata</em>: presence of two pairs of obvious persistomial eyes; only 6 abdominal segments and pair of lateral wings in posteriormost abdominal segments.</p>
<p><em>D. antarctica: </em>presence of small pair of peristomial eyes, collar with a single dorsal incision only, with 7 abdominal segments only.</p>
<p><em>D. nova ? </em></p>
<p><em>D. aniara: </em>collar similar to <em>D. antarctica, </em>radioles with 8 pairs of pinnules.</p>
<div>
	 </div>


 ","Desdemona Banse, 1957","666","317","Genus"
"<a href=""/node/665"">Claviramus Fitzhugh, 2002</a>"," <p><strong><em>Claviramus</em> Fitzhugh, 2002</strong></p>
<p><strong><em>Claviramus</em> sp. 1</strong></p>
<p><strong>Voucher.</strong> INFLEX: station 1MFA.</p>
<p><strong>Diagnosis.</strong> Small and slender species; voucher specimen complete, with branchial crown; body 2.5mm long, crown 1mm long, body 0.2mm wide; 8  thoracic and 9 abdominal chaetigers.</p>
<p>Branchial crown with 5 pairs of radioles, basally connected by a very low palmate membrane; radiole with papillae, distally ends in a well-developed flange with long filament; 2 pairs of nonvascularized ventral filaments present. (Presence/absence and structure of the lips not determined at this stage).</p>
<p>Collar most developed ventrally as high lobe, low lobe laterally and dorsally as a low lobes; margin smooth with mid-ventral shallow notch; dorsally forming two lobes that just about meet at midline. Peristomial eyes not observed. Glandular ridge on chaetiger 2 present.</p>
<p>Collar uncini limbate notochaetae. Thoracic notochaetae of two types - long, broadly limbate and shorter paleate, about 3 + 3 per fascicle. Thoracic uncini acicular with long handles, breast as a narrow swelling, positioned very close to notochaetae, 3 per fascicle, each with main fang and rows of small, diminishing-in-size teeth covering half the length of main fang. Abdominal uncini appear <em>Jasmineira</em>-like (with reduced breast), main fang surmounted by several rows of small teeth; 4 per fascicle.</p>
<p>Pygidium triangular lobe, pygidial eyes not observed.</p>
<p><strong>Remarks. </strong>The flanges on distal ends of radioles a feature clearly observed in FI specimen, are a hallmark of genus <em>Claviramus</em> (Fitzhugh, 2002). However Fitzhugh (2002) also reported abdominal uncini to be avicular, with enlarged breast. While it was not possible to observe abdominal uncini in clear lateral view in FI specimen, these do appear more of <em>Jasmineira </em>type, with reduced breast. This character requires clarification (only a single, very fragile specimen is currently available for examination). Currently, only 3 species of <em>Claviramus</em> are known (none from the geographical area investigated): <em>C. candelus </em>(Grube, 1863) from Adriatic Sea, <em>C. grubei</em> Fitzhugh, 2002 from Thailand and <em>C. oculatus</em> (Langerhans, 1884) from Madeira. The FI specimen represents a new species showing affinities with <em>C. grubei </em>and <em>C. oculatus</em> (sensu Cochrane 2000) in having filamentous ends to radioles distal to the foliaceous flanges (see discussion in Fitzhugh, 2002). It can be further distinguished from <em>C. oculatus</em> by presence of a glandular ridge on chaetiger 2. <em>Claviramus grubei</em> is marked by presence of this glandular ridge, but differs from FI specimens in possessing more abdominal chaetigers (12 versus 9) and greater number of radiolar pairs in branchial crown (7 versus 5), even though the holotypes are of the exact dimension (i.e. differences cannot be size related). This is a first record of genus <em>Claviramus</em> from South America and Southern Ocean.</p>


 ","Claviramus Fitzhugh, 2002","665","310","Genus"
"<a href=""/node/664"">Harmothoe Kinberg, 1856</a>"," <p>There are two species of <em>Harmothoe </em>recorded from off the Falkand Islands</p>
<p><em>Harmothoe magellanica</em> (McIntosh, 1885)<br /><em>Harmothoe</em> sp. 1</p>


 ","Harmothoe Kinberg, 1856","664","270","Genus"
"<a href=""/node/663"">Austrolaenilla Bergström, 1916 </a>"," <p>There are two species recorded from off the Falkland Islands</p>
<p><em>Austrolaenilla </em>cf. <em>antarctica</em> Bergström, 1916<br /><em>Austrolaenilla</em> sp. 1</p>


 ","Austrolaenilla Bergström, 1916","663","264","Genus"
"<a href=""/node/662"">Eucranta Malmgren, 1866</a>"," <p><strong>Polynoinae Kinberg, 1856</strong></p>
<p><strong><em>Eucranta</em> Malmgren, 1866</strong></p>
<p><strong><em>Eucranta mollis</em> (McIntosh, 1876)</strong></p>
<p><strong>Voucher. </strong>Sea Lion: station 6MFA.</p>
<p><strong>Diagnosis</strong>. Voucher is a large, complete but fragmented specimen, anterior fragment 14mm long and 3.5mm wide, for 20 chaetigers; reddish-brown pigmentation on dorsum.</p>
<p>Prostomium bilobed, rounded, cephalic peaks not discerned in voucher specimen, lateral antennae inserted ventrally to median antenna; 2 pairs of small eyes, anterior pair of eyes anteroventral. Antennae and cirri tapering, smooth. Parapodia bi-ramous, neuropodial supra-acicular process short.</p>
<p>Elytral margin and surface smooth, except for patch of conical microtubercles near anterior margin. Tip of upper neurochaetae slender, forceps-like; tip of middle and lower neurochaetae mostly bidentate with stout secondary tooth, few lowermost forceps-like.</p>
<p><strong>Remarks. </strong>Falkland Island specimens agree well with <em>Eucranta mollis</em>. This species has been recently revised by Barnich et al. 2012 and we refer readers to this publication for details, including comparison with similar species from the region (<em>E. notialis</em> has not been found in Falkland samples, but given its distribution, it is likely to be present).</p>
<p><strong>Distribution. </strong>Antarctic and Magellan regions, the continental slope off the northern coast of Argentina, Falkland Islands.</p>


 ","Eucranta Malmgren, 1866","662","267","Genus"
"<a href=""/node/661"">Cirrophorus Ehler, 1908</a>"," <p><strong>Genus <em>Cirrophorus</em> Ehlers, 1908</strong></p>
<p></p>
<p><strong><em>Cirrophorus </em></strong><strong>cf. <em>furcatus  </em>(Hartman, 1957) sensu Strelzov, 1973</strong></p>
<p><strong>Voucher.</strong> Sea Lion: Station 41MFC</p>
<p><strong>Diagnosis.</strong> Small sized species; voucher specimen is incomplete with 50 segments,  4mm long and 0.5 mm wide; anterior part of the body enlarged and dorsoventrally flattened, cylindrical posteriorly; colour in alcohol reddish brown, with darkest pigmentation in prostomium and prebranchial segments.</p>
<p>Prostomium slightly pear-shaped; prostomial antenna very short (not protruding beyond the prostomium), cirriform, unlike prostomium not stained (contrast well as it appears white against prostomium); nuchal organs present as short slits in posterior part of prostomium, partially covered by peristomium.</p>
<p>Branchiae from chaetiger 4, 19 pairs in voucher specimen (but variable in other specimens), first and last pair shortest, other branchiae long (overlapping at midline), tapering distally into acute tips , the last branchiae (where present) short.</p>
<p>Notopodial postchaetal lobes small, digiform in prebranchial segments, lengthening throughout, longest in mid-branchial region–about half the length of corresponding branchiae, getting small again in posterior segments.</p>
<p>Notochaetae long capillaries, most dense in anterior part of the body, some extremely long and modified lyrate (forked) chaetae, lyrate chaetae from chaetiger 5 (very difficult to observed as notochaetae very dense), becoming obvious from around chaetiger 15, 2 per fascicle; lyrates with unequal tines with long filamentous tips, both with inner edges serrated.  Neurochaetae capillaries only, most dense in anterior part of the body, some extremely long. Pygidium not observed.</p>
<p><strong>Remarks. </strong>FI specimens agree most with <em>C. furcatus </em>Strelzov, 1973 descriptions in  size and shape of antenna, branchiae from chaetiger 4 and form of notopodial lobes (very long in branchial segments, getting smaller in postbranchial segments). However, the striking reddish pigmentation was not commented on by Strelzov. Neither was the presence of extremely long capillary noto- and neurochaetae (in addition to shorter ones) observed in FI specimens. Also he noted appearance of lyrate chaetae from chaetiger 3.</p>
<p>Blake (1996) provided a description of <em>C. furcatus </em>from deep water of California, but in his description of the size of notopodial lobes, reducing in size from prebranchial to branchial chaetigers, was in contrast to their description in Strelzov. Given the inconsistencies in characters descriptions and subsequent identification by various authors it is very difficult to arrive at conclusion about the identity of FI specimens without re-examining the type specimens and specimens from other localities. There is also a species of<em> Cirrophorus </em>reported from Southern Ocean–<em>C. brevicciratus</em> Strelov, 1973–which differs from FI specimen in possessing blister-like antenna (not developed in small specimens) and short notopodial lobes in branchial segments.</p>
<p>Additional work will be necessary to confirm if FI specimens with their striking pigmentation, long notopodial lobes in branchial regions and very long capillaries in fact represent a new species. In the meantime we refer the FI offshore material to <em>Cirrophorus </em>cf. <em>furcatus  </em>(Hartman, 1957) (<em>sensu</em> Strelzov, 1973). The reddish pigmentation, which is particularly pronounced in the most anterior body region, makes this species easy to distinguish from all other paranoid species in FI material.</p>
<p></p>


 ","Cirrophorus Ehlers, 1908","661","480","Species"
"<a href=""/node/660"">Paradoneis Hartman, 1965</a>"," <p><strong><em><strong>Paradoneis </strong></em><strong>Hartman, 1965</strong></strong></p>
<p><strong><em>Paradoneis</em> sp. 1</strong></p>
<p><strong>Voucher specimen.</strong> Vinson West: Station 1MFA.</p>
<p><strong>Diagnosis. </strong>Small sized, very slender species; voucher is the largest  with 43 segments (incomplete specimen), 6mm long and 0.3mm wide; body of uniform width throughout, segments becoming bead-like in middle and posterior segments; colour in alcohol pale yellow.<br />
	Prostomium triangular, slightly longer than wide, anteriorly blunt; prostomial antenna absent; nuchal organs present as two short slits in posterior part of prostomium.<br />
	Branchiae from chaetiger 4, 5 pairs in voucher specimens (as few as 2 pairs in other specimens), the last pair short (not meeting at midline), the middle branchiae long (overlapping at midline), all with blunt tips.<br />
	Notopodial postchaetal lobes in prebranchial segments small digitiform, smallest in chaetiger 1 then lengthening progressively becoming largest in branchial region with their bases slightly inflated, slender, cirriform in postbranchial region.<br />
	Notochaetae long capillaries, most dense in the anterior part of the body. Modified chaetae lyrate (forked) from chaetiger 6 (very difficult to observe as notochaetae very dense), becoming easy to observe from around chaetiger 9, only one per fascicle, with unequal tines, with long filamentous tips, both tines with inner edges serrated. Neurochaetae capillaries only, most dense in anterior part of the body. Pygidium not observed.</p>
<p><strong>Remarks.</strong> Only <em>P. brunnea</em> Hartmann-Schröder and Rosenfeldt, 1988 is a known <em>Paradoneis</em> species from the area (Southern Ocean), possessing three prebranchial chaetigers, short blunt form of branchiae, presence of modified lyrate chaetae only (i.e. no spines) in notopodia. However there are also differences in that FI specimens lack the brown pigmentation of <em>P. brunnea,</em> lyrate chaetae occur from chaetiger 6 (rather than 3 in P. brunnea) and possess a much smaller number of branchiae (5 observed versus 12 in P. brunnea).<br /><em>P. forticirrata</em> described by Strelzov (1973) from the deep Pacific Ocean in which first lyrate spines also occur in segment 4-6, but differs in possessing 15-17 pairs of branchiae and most importantly Strelzov described the notopodial postchaetal lobes on prebranchial segments as massive and made this important distinguishing character from other species of <em>Paradoneis</em> (Strelzov 1973, p.147). However, the accompanying drawing in Strelzov (p. 146) does not show large notopodial lobes. These are in fact similar to those found in FI specimens and also described in <em>P. brunnea</em>. A comparative table for known species of <em>Paradoneis </em>was provided by Aguirrezabalaga and Gil (2009).  However, characters such as the number of branchial pairs is variable (probably size dependent) and so we cannot exclude the possibility that, given the small size of FI specimens, they are in fact juveniles of one of these species. Additional work will be necessary to confirm if FI specimens in fact represent a new species or merely a juvenile form.</p>


 ","Paradoneis Hartman, 1965","660","207","Genus"
